epoch,percentage,loss
1,0.0,0.97905016
1,0.0,0.94079542
1,0.0,1.04972672
1,0.0,0.59837419
1,0.0,0.93144965
1,0.0,0.62202787
1,0.0,0.54902595
1,0.0,0.66559446
1,0.0,0.76673168
1,0.0,0.62628388
1,0.0,0.80094689
1,0.0,0.83585560
1,0.0,0.57126760
1,0.0,0.60987031
1,0.0,0.73915029
1,0.0,0.67906618
1,0.0,0.73001891
1,0.0,0.54213256
1,0.0,0.52693641
1,0.0,0.47233629
1,0.0,0.54374808
1,0.0,0.61678207
1,0.0,0.54782569
1,0.0,0.63616645
1,0.0,0.45630515
1,0.0,0.64061248
1,0.0,0.59877193
1,0.0,0.45989892
1,0.0,0.47209883
1,0.0,0.54788196
1,0.0,0.53683895
1,0.0,0.67193294
1,0.0,0.44119444
1,0.0,0.59907180
1,0.1,0.51906240
1,0.1,0.52960330
1,0.1,0.41233987
1,0.1,0.40817773
1,0.1,0.43041232
1,0.1,0.44377437
1,0.1,0.48425153
1,0.1,0.55956686
1,0.1,0.40820551
1,0.1,0.34569016
1,0.1,0.58865947
1,0.1,0.78059071
1,0.1,0.57039994
1,0.1,0.64268607
1,0.1,0.57859445
1,0.1,0.54421794
1,0.1,0.55848944
1,0.1,0.83228719
1,0.1,0.59043521
1,0.1,0.49562290
1,0.1,0.41918162
1,0.1,0.32583603
1,0.1,0.52086872
1,0.1,0.46706924
1,0.1,0.50628412
1,0.1,0.39898002
1,0.1,0.63021064
1,0.1,0.64388627
1,0.1,0.61440271
1,0.1,0.59718710
1,0.1,0.42446491
1,0.1,0.55742830
1,0.1,0.45597541
1,0.1,0.36043420
1,0.1,0.55669326
1,0.1,0.59527022
1,0.1,0.57183707
1,0.1,0.50044280
1,0.1,0.50520504
1,0.1,0.54149789
1,0.1,0.55353665
1,0.1,0.55889070
1,0.1,0.60396391
1,0.1,0.55221033
1,0.1,0.56783956
1,0.1,0.43640172
1,0.1,0.70142484
1,0.1,0.48730263
1,0.1,0.51007116
1,0.1,0.57153547
1,0.1,0.45234543
1,0.1,0.48901746
1,0.1,0.44362891
1,0.1,0.66704786
1,0.1,0.52342135
1,0.1,0.54328895
1,0.1,0.59372413
1,0.1,0.48342627
1,0.1,0.50664765
1,0.1,0.44056049
1,0.1,0.35883763
1,0.1,0.47756726
1,0.1,0.39777431
1,0.1,0.54268253
1,0.1,0.42005232
1,0.1,0.42395735
1,0.1,0.43518341
1,0.1,0.46821392
1,0.1,0.39536455
1,0.2,0.46947289
1,0.2,0.39508954
1,0.2,0.50889945
1,0.2,0.45185155
1,0.2,0.56576395
1,0.2,0.45766008
1,0.2,0.47688952
1,0.2,0.47365963
1,0.2,0.48609066
1,0.2,0.53592956
1,0.2,0.66797262
1,0.2,0.51813352
1,0.2,0.33893710
1,0.2,0.42371237
1,0.2,0.42302552
1,0.2,0.61908215
1,0.2,0.50770754
1,0.2,0.47665542
1,0.2,0.53084803
1,0.2,0.40553299
1,0.2,0.48230347
1,0.2,0.43160316
1,0.2,0.41258892
1,0.2,0.40653872
1,0.2,0.47848278
1,0.2,0.56158900
1,0.2,0.42266026
1,0.2,0.45577106
1,0.2,0.47747269
1,0.2,0.41788831
1,0.2,0.43420058
1,0.2,0.49067998
1,0.2,0.40848139
1,0.2,0.54672474
1,0.2,0.49549067
1,0.2,0.47716045
1,0.2,0.50651819
1,0.2,0.28598356
1,0.2,0.41010359
1,0.2,0.46140227
1,0.2,0.45422193
1,0.2,0.53335357
1,0.2,0.48862723
1,0.2,0.49644658
1,0.2,0.39579442
1,0.2,0.36866245
1,0.2,0.47808185
1,0.2,0.30031618
1,0.2,0.53408599
1,0.2,0.28182152
1,0.2,0.38358313
1,0.2,0.41735658
1,0.2,0.51908845
1,0.2,0.47353938
